NIC58	IPR_accession	IPR_description	GO
NIC58.11495	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.11495	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.12282	IPR004014	Cation-transporting P-type ATPase, N-terminal	-
NIC58.12282	IPR044492	P-type ATPase, haloacid dehalogenase domain	-
NIC58.12282	IPR022141	Plasma membrane calcium transporting P-type ATPase, C-terminal	GO:0005388(InterPro)
NIC58.12282	IPR023298	P-type ATPase, transmembrane domain superfamily	-
NIC58.12282	IPR006408	P-type ATPase, subfamily IIB	GO:0005388(InterPro)|GO:0005524(InterPro)|GO:0016020(InterPro)|GO:0070588(InterPro)
NIC58.12282	IPR004014	Cation-transporting P-type ATPase, N-terminal	-
NIC58.12282	IPR023299	P-type ATPase, cytoplasmic domain N	GO:0000166(InterPro)
NIC58.12282	IPR006068	Cation-transporting P-type ATPase, C-terminal	-
NIC58.12282	-	-	GO:0005388(PANTHER)|GO:0005886(PANTHER)|GO:0006874(PANTHER)|GO:0019829(PANTHER)|GO:0043231(PANTHER)|GO:0051480(PANTHER)
NIC58.12282	IPR008250	P-type ATPase, A domain superfamily	-
NIC58.12282	IPR023214	HAD superfamily	-
NIC58.12282	IPR036412	HAD-like superfamily	-
NIC58.12282	IPR023299	P-type ATPase, cytoplasmic domain N	GO:0000166(InterPro)
NIC58.12282	IPR018303	P-type ATPase, phosphorylation site	-
NIC58.12282	IPR001757	P-type ATPase	GO:0005215(InterPro)|GO:0005524(InterPro)|GO:0016020(InterPro)|GO:0016887(InterPro)
NIC58.12282	IPR001757	P-type ATPase	GO:0005215(InterPro)|GO:0005524(InterPro)|GO:0016020(InterPro)|GO:0016887(InterPro)
NIC58.18022	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-
NIC58.18022	IPR035892	C2 domain superfamily	-
NIC58.18022	IPR035892	C2 domain superfamily	-
NIC58.18022	IPR000008	C2 domain	-
NIC58.18022	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-
NIC58.18022	IPR000008	C2 domain	-
NIC58.18022	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-
NIC58.18022	IPR000008	C2 domain	-
NIC58.18022	IPR002219	Protein kinase C-like, phorbol ester/diacylglycerol-binding domain	-
NIC58.18022	IPR039934	C2 domain-containing protein 2-like	-
NIC58.18022	IPR046349	C1-like domain superfamily	-
NIC58.576	IPR013869	Protein of unknown function DUF1757	-
NIC58.13961	IPR003347	JmjC domain	-
NIC58.13961	IPR003347	JmjC domain	-
NIC58.13961	IPR041667	Cupin-like domain 8	-
NIC58.13961	IPR050690	JHDM1 Histone Demethylase	-
NIC58.7149	IPR019425	7TM GPCR, serpentine receptor class t (Srt)	-
NIC58.12936	IPR052823	SXP/RAL-2-related	-
NIC58.12936	IPR003677	SXP/RAL-2 family protein Ani s 5-like, cation-binding domain	-
NIC58.2833	IPR027310	Profilin conserved site	GO:0003779(InterPro)
NIC58.2833	IPR005455	Profilin, eukaryotic type	GO:0003779(InterPro)|GO:0003785(PANTHER)|GO:0005938(PANTHER)|GO:0042989(PANTHER)
NIC58.2833	IPR005455	Profilin, eukaryotic type	GO:0003779(InterPro)
NIC58.2833	IPR048278	Profilin	GO:0003779(InterPro)
NIC58.2833	IPR005455	Profilin, eukaryotic type	GO:0003779(InterPro)
NIC58.2833	IPR036140	Profilin superfamily	-
NIC58.535	-	-	GO:0003712(PANTHER)|GO:0005634(PANTHER)|GO:0030018(PANTHER)
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.535	IPR001781	Zinc finger, LIM-type	-
NIC58.21	IPR023175	Vta1/Callose synthase, N-terminal domain superfamily	-
NIC58.21	IPR023175	Vta1/Callose synthase, N-terminal domain superfamily	-
NIC58.21	IPR039431	Vta1/callose synthase, N-terminal	-
NIC58.21	IPR041212	Vta1, C-terminal	-
NIC58.21	IPR044538	Vacuolar protein sorting-associated protein Vta1-like	GO:0005771(PANTHER)|GO:0032511(InterPro)|GO:0032511(PANTHER)
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR051022	Notch Signaling and Cell Fate Determination	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.19336	IPR000742	EGF-like domain	-
NIC58.2179	IPR023538	Ribonuclease P protein subunit RNP1	GO:0001682(InterPro)|GO:0030677(InterPro)
NIC58.2179	IPR002730	Ribonuclease P protein subunit Rpp29/RNP1	GO:0001682(InterPro)|GO:0003723(InterPro)|GO:0006396(InterPro)|GO:0030677(InterPro)
NIC58.2179	IPR023534	Rof/RNase P-like	-
NIC58.2179	IPR002730	Ribonuclease P protein subunit Rpp29/RNP1	GO:0001682(InterPro)|GO:0003723(InterPro)|GO:0006396(InterPro)|GO:0030677(InterPro)
NIC58.2179	IPR016848	Ribonuclease P/MRP subunit Rpp29	GO:0000172(PANTHER)|GO:0000172(InterPro)|GO:0001682(InterPro)|GO:0006364(PANTHER)|GO:0006396(InterPro)|GO:0030677(InterPro)|GO:0030677(PANTHER)|GO:0033204(PANTHER)|GO:0033204(InterPro)
NIC58.2179	IPR036980	Ribonuclease P/MRP subunit Rpp29 superfamily	GO:0003723(InterPro)|GO:0008033(InterPro)|GO:0030677(InterPro)
NIC58.11044	IPR052823	SXP/RAL-2-related	-
NIC58.11044	IPR003677	SXP/RAL-2 family protein Ani s 5-like, cation-binding domain	-
NIC58.1793	IPR050305	Small GTPase superfamily, Rab	-
NIC58.1793	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.1793	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.1793	IPR005225	Small GTP-binding domain	GO:0005525(InterPro)
NIC58.1793	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)
NIC58.1793	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)
NIC58.1793	IPR001806	Small GTPase	GO:0003924(InterPro)|GO:0005525(InterPro)
NIC58.10212	IPR038765	Papain-like cysteine peptidase superfamily	-
NIC58.10212	IPR003653	Ulp1 protease family, C-terminal catalytic domain	GO:0006508(InterPro)|GO:0008234(InterPro)
NIC58.10212	IPR003653	Ulp1 protease family, C-terminal catalytic domain	GO:0006508(InterPro)|GO:0008234(InterPro)
NIC58.19879	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.19879	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.19879	IPR042099	ANL, N-terminal domain	-
NIC58.19879	-	-	GO:0016405(PANTHER)
NIC58.19879	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
NIC58.14240	IPR035994	Nucleoside phosphorylase superfamily	GO:0003824(InterPro)|GO:0009116(InterPro)
NIC58.14240	IPR055121	Winged helix-turn-helix domain, arthropods/nematodes	-
NIC58.4017	IPR003392	Patched domain-containing protein, SSD domain	GO:0016020(InterPro)
NIC58.4017	IPR051697	Patched domain-containing protein	GO:0005886(PANTHER)|GO:0006897(PANTHER)|GO:0016020(PANTHER)|GO:0018996(PANTHER)|GO:0030659(PANTHER)
NIC58.4017	IPR000731	Sterol-sensing domain	-
NIC58.5465	IPR001841	Zinc finger, RING-type	-
NIC58.5465	IPR057657	MAT1, C-terminal CAK anchor	-
NIC58.5465	IPR001841	Zinc finger, RING-type	-
NIC58.5465	IPR015877	MAT1, centre	-
NIC58.5465	IPR017907	Zinc finger, RING-type, conserved site	-
NIC58.5465	IPR001841	Zinc finger, RING-type	-
NIC58.5465	IPR004575	Cdk-activating kinase assembly factor MAT1/Tfb3	GO:0005675(InterPro)|GO:0006289(InterPro)|GO:0045737(InterPro)|GO:0061575(InterPro)
NIC58.5465	-	-	GO:0005675(PANTHER)|GO:0006281(PANTHER)|GO:0006357(PANTHER)
NIC58.5465	IPR013083	Zinc finger, RING/FYVE/PHD-type	-
NIC58.14138	IPR029021	Protein-tyrosine phosphatase-like	-
NIC58.14138	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.14138	IPR053345	Ankyrin repeat-containing protein	-
NIC58.14138	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.14138	IPR003595	Protein-tyrosine phosphatase, catalytic	-
NIC58.14138	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.14138	IPR029021	Protein-tyrosine phosphatase-like	-
NIC58.6894	-	-	GO:0016020(PANTHER)
NIC58.6894	IPR036259	MFS transporter superfamily	-
NIC58.6894	IPR036259	MFS transporter superfamily	-
NIC58.6894	IPR020846	Major facilitator superfamily domain	GO:0022857(InterPro)
NIC58.6894	IPR011701	Major facilitator superfamily	GO:0022857(InterPro)|GO:0055085(InterPro)
NIC58.6894	IPR036259	MFS transporter superfamily	-
NIC58.6905	IPR012337	Ribonuclease H-like superfamily	-
NIC58.5450	IPR002052	DNA methylase, N-6 adenine-specific, conserved site	GO:0003676(InterPro)|GO:0008168(InterPro)|GO:0032259(InterPro)
NIC58.5450	IPR007848	Methyltransferase small domain	GO:0008168(InterPro)
NIC58.5450	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	-
NIC58.5450	IPR004557	Eukaryotic/archaeal PrmC-related	GO:0008168(InterPro)
NIC58.5450	IPR052190	Eukaryotic/Archaeal PrmC-Related Methyltransferase	GO:0008276(PANTHER)|GO:0008757(PANTHER)|GO:0035657(PANTHER)
NIC58.5450	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	-
NIC58.17527	IPR043153	DENN domain, C-terminal lobe	-
NIC58.17527	IPR037516	Tripartite DENN domain	-
NIC58.17527	IPR001194	cDENN domain	-
NIC58.17527	IPR040032	DENN domain-containing protein 1A/1B/1C	GO:0005085(InterPro)|GO:0005829(PANTHER)|GO:0006897(PANTHER)|GO:0032456(PANTHER)|GO:0043231(PANTHER)|GO:1901981(PANTHER)
NIC58.17527	IPR005112	dDENN domain	-
NIC58.17527	IPR005113	uDENN domain	-
NIC58.17527	IPR005112	dDENN domain	-
NIC58.17527	IPR005113	uDENN domain	-
NIC58.17527	IPR001194	cDENN domain	-
NIC58.1969	IPR006342	Methyltransferase FkbM	-
NIC58.11486	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.11486	IPR016187	C-type lectin fold	-
NIC58.11486	IPR006583	PAN-3 domain	-
NIC58.11486	IPR006583	PAN-3 domain	-
NIC58.18722	IPR043154	Sec1-like, domain 1	-
NIC58.18722	IPR001619	Sec1-like protein	GO:0016192(InterPro)
NIC58.18722	IPR001619	Sec1-like protein	GO:0016192(InterPro)
NIC58.18722	IPR027482	Sec1-like, domain 2	-
NIC58.18722	IPR043127	Sec1-like, domain 3a	-
NIC58.18722	IPR036045	Sec1-like superfamily	-
NIC58.18722	IPR001619	Sec1-like protein	GO:0016192(InterPro)
NIC58.3080	IPR035979	RNA-binding domain superfamily	GO:0003676(InterPro)
NIC58.3080	IPR034775	Protein elav, RNA recognition motif 1	-
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.3080	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR006548	Splicing factor ELAV/Hu	GO:0003723(InterPro)
NIC58.3080	IPR035979	RNA-binding domain superfamily	GO:0003676(InterPro)
NIC58.3080	IPR002343	Paraneoplastic encephalomyelitis antigen	GO:0003723(InterPro)|GO:1990904(InterPro)
NIC58.3080	IPR002343	Paraneoplastic encephalomyelitis antigen	GO:0003723(InterPro)|GO:1990904(InterPro)
NIC58.3080	IPR002343	Paraneoplastic encephalomyelitis antigen	GO:0003723(InterPro)|GO:1990904(InterPro)
NIC58.3080	IPR002343	Paraneoplastic encephalomyelitis antigen	GO:0003723(InterPro)|GO:1990904(InterPro)
NIC58.3080	IPR002343	Paraneoplastic encephalomyelitis antigen	GO:0003723(InterPro)|GO:1990904(InterPro)
NIC58.3080	IPR002343	Paraneoplastic encephalomyelitis antigen	GO:0003723(InterPro)|GO:1990904(InterPro)
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3080	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.16365	IPR036249	Thioredoxin-like superfamily	-
NIC58.16365	IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6	GO:0008250(PANTHER)|GO:0018279(PANTHER)
NIC58.16365	IPR021149	Oligosaccharyl transferase complex, subunit OST3/OST6	-
NIC58.17000	IPR013083	Zinc finger, RING/FYVE/PHD-type	-
NIC58.17000	IPR001841	Zinc finger, RING-type	-
NIC58.20	IPR000198	Rho GTPase-activating protein domain	GO:0007165(InterPro)
NIC58.20	IPR000198	Rho GTPase-activating protein domain	GO:0007165(InterPro)
NIC58.20	IPR000198	Rho GTPase-activating protein domain	GO:0007165(InterPro)
NIC58.20	IPR039767	RalA-binding protein 1	GO:0005096(InterPro)|GO:0007264(InterPro)|GO:0031267(InterPro)
NIC58.20	IPR008936	Rho GTPase activation protein	-
NIC58.20	IPR008936	Rho GTPase activation protein	-
NIC58.14275	IPR043592	Formin-like protein, animal	GO:0005829(PANTHER)|GO:0007010(InterPro)|GO:0008360(PANTHER)|GO:0016477(PANTHER)|GO:0022604(InterPro)|GO:0030866(PANTHER)|GO:0051015(PANTHER)
NIC58.14275	IPR011989	Armadillo-like helical	-
NIC58.14275	IPR015425	Formin, FH2 domain	-
NIC58.14275	IPR010472	Formin, FH3 domain	GO:0003779(InterPro)|GO:0016043(InterPro)
NIC58.14275	IPR016024	Armadillo-type fold	-
NIC58.14275	IPR010473	Formin, GTPase-binding domain	GO:0003779(InterPro)|GO:0030036(InterPro)|GO:0031267(InterPro)
NIC58.14275	IPR015425	Formin, FH2 domain	-
NIC58.14275	IPR010472	Formin, FH3 domain	GO:0003779(InterPro)|GO:0016043(InterPro)
NIC58.14275	IPR014768	Rho GTPase-binding/formin homology 3 (GBD/FH3) domain	-
NIC58.14275	IPR042201	Formin, FH2 domain superfamily	-
NIC58.14275	IPR010473	Formin, GTPase-binding domain	GO:0003779(InterPro)|GO:0030036(InterPro)|GO:0031267(InterPro)
NIC58.14275	IPR010473	Formin, GTPase-binding domain	GO:0003779(InterPro)|GO:0030036(InterPro)|GO:0031267(InterPro)
NIC58.14275	IPR015425	Formin, FH2 domain	-
NIC58.2651	IPR003607	HD/PDEase domain	-
NIC58.2651	IPR025110	AMP-binding enzyme, C-terminal domain	-
NIC58.2651	IPR003607	HD/PDEase domain	-
NIC58.2651	IPR042099	ANL, N-terminal domain	-
NIC58.2651	-	-	GO:0016405(PANTHER)
NIC58.2651	IPR045851	AMP-binding enzyme, C-terminal domain superfamily	-
NIC58.2651	IPR020845	AMP-binding, conserved site	-
NIC58.2651	IPR006674	HD domain	-
NIC58.2651	IPR000873	AMP-dependent synthetase/ligase domain	-
NIC58.1560	IPR005708	Homogentisate 1,2-dioxygenase	GO:0004411(InterPro)|GO:0004411(PANTHER)|GO:0005737(PANTHER)|GO:0006559(InterPro)|GO:0006559(PANTHER)|GO:0006570(InterPro)
NIC58.1560	IPR011051	RmlC-like cupin domain superfamily	-
NIC58.1560	IPR046452	Homogentisate 1,2-dioxygenase, N-terminal domain	-
NIC58.1560	IPR014710	RmlC-like jelly roll fold	-
NIC58.1560	IPR046451	Homogentisate 1,2-dioxygenase, C-terminal domain	-
NIC58.1560	IPR005708	Homogentisate 1,2-dioxygenase	GO:0004411(InterPro)|GO:0006559(InterPro)|GO:0006570(InterPro)
NIC58.19103	IPR009060	UBA-like superfamily	GO:0005515(InterPro)
NIC58.19103	IPR000608	Ubiquitin-conjugating (UBC), catalytic core domain	-
NIC58.19103	IPR016135	Ubiquitin-conjugating enzyme/RWD-like	-
NIC58.19103	IPR015940	Ubiquitin-associated domain	-
NIC58.19103	IPR015940	Ubiquitin-associated domain	-
NIC58.19103	IPR050113	Ubiquitin-conjugating enzyme	-
NIC58.19103	IPR015940	Ubiquitin-associated domain	-
NIC58.19103	IPR000608	Ubiquitin-conjugating (UBC), catalytic core domain	-
NIC58.19103	IPR016135	Ubiquitin-conjugating enzyme/RWD-like	-
NIC58.3285	IPR045110	XMAP215	GO:0007051(InterPro)|GO:0030951(InterPro)|GO:0046785(InterPro)|GO:0051010(InterPro)|GO:0061863(InterPro)
NIC58.3285	IPR034085	TOG domain	-
NIC58.3285	IPR034085	TOG domain	-
NIC58.3285	IPR034085	TOG domain	-
NIC58.3285	IPR013099	Potassium channel domain	-
NIC58.3285	IPR013099	Potassium channel domain	-
NIC58.3285	IPR003280	Two pore domain potassium channel	GO:0005267(InterPro)|GO:0016020(InterPro)|GO:0071805(InterPro)
NIC58.3285	IPR003280	Two pore domain potassium channel	GO:0005267(InterPro)|GO:0016020(InterPro)|GO:0071805(InterPro)
NIC58.3285	IPR011989	Armadillo-like helical	-
NIC58.3285	IPR011989	Armadillo-like helical	-
NIC58.3285	IPR016024	Armadillo-type fold	-
NIC58.3285	IPR021133	HEAT, type 2	-
NIC58.3285	IPR048491	XMAP215/Dis1/CLASP, TOG domain	GO:0015631(InterPro)
NIC58.3285	IPR048491	XMAP215/Dis1/CLASP, TOG domain	GO:0015631(InterPro)
NIC58.3285	IPR048491	XMAP215/Dis1/CLASP, TOG domain	GO:0015631(InterPro)
NIC58.3285	IPR011989	Armadillo-like helical	-
NIC58.3285	IPR021133	HEAT, type 2	-
NIC58.603	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.603	IPR042317	F-box protein she-1-like	-
NIC58.12225	IPR045111	Vacuolar protein sorting-associated protein Vps41/Vps8	GO:0005770(PANTHER)|GO:0006623(PANTHER)|GO:0006623(InterPro)|GO:0030897(PANTHER)|GO:0034058(PANTHER)
NIC58.12225	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.12225	IPR025941	Vacuolar protein sorting-associated protein 8, central domain	-
NIC58.12225	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.17459	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.17459	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.17459	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.17459	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.17459	-	-	GO:0005886(PANTHER)|GO:0007218(PANTHER)|GO:0008528(PANTHER)
NIC58.17459	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)
NIC58.17459	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.8687	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)
NIC58.8687	IPR006874	Protein of unknown function DUF621	-
NIC58.17825	IPR001534	Transthyretin-like	GO:0009986(InterPro)
NIC58.17825	IPR038479	Transthyretin-like superfamily	-
NIC58.15260	IPR001357	BRCT domain	-
NIC58.15260	IPR003125	Domain of unknown function WSN	-
NIC58.15260	IPR036420	BRCT domain superfamily	-
NIC58.15260	IPR053345	Ankyrin repeat-containing protein	-
NIC58.15260	IPR036420	BRCT domain superfamily	-
NIC58.15260	IPR001357	BRCT domain	-
NIC58.15260	IPR003125	Domain of unknown function WSN	-
NIC58.15260	IPR001357	BRCT domain	-
NIC58.15637	IPR024483	Glia associated membrane protein glam-1	-
NIC58.15637	IPR024483	Glia associated membrane protein glam-1	-
NIC58.7963	IPR019428	7TM GPCR, serpentine receptor class r (Str)	-
NIC58.7141	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)
NIC58.7141	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.7141	IPR047130	Serpentine type 7TM GPCR chemoreceptor Srsx, nematodes	-
NIC58.7141	IPR019424	Serpentine type 7TM GPCR chemoreceptor Srsx	-
NIC58.665	IPR001214	SET domain	GO:0005515(InterPro)
NIC58.665	IPR050600	SETD3/SETD6 methyltransferase	GO:0016279(PANTHER)|GO:0018026(PANTHER)
NIC58.665	IPR044429	SETD4, SET domain	GO:0016279(InterPro)|GO:0018023(InterPro)
NIC58.665	IPR046341	SET domain superfamily	-
NIC58.665	IPR001214	SET domain	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.12076	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.12076	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.12076	IPR040251	Protein transport protein SEC31-like	GO:0005198(PANTHER)|GO:0006888(InterPro)|GO:0007029(PANTHER)|GO:0030127(PANTHER)|GO:0070971(PANTHER)|GO:0090110(PANTHER)
NIC58.4793	IPR045844	Ist3-like, RNA recognition motif	GO:0000398(InterPro)|GO:0003723(InterPro)
NIC58.4793	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.4793	IPR035979	RNA-binding domain superfamily	GO:0003676(InterPro)
NIC58.4793	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.4793	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.4793	IPR051847	RNA Processing and Spliceosome Component	GO:0000398(PANTHER)|GO:0005686(PANTHER)|GO:0071011(PANTHER)|GO:0071013(PANTHER)
NIC58.4793	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.3094	IPR029021	Protein-tyrosine phosphatase-like	-
NIC58.3094	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.3094	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.3094	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.3094	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.3094	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.3094	IPR000242	Tyrosine-specific protein phosphatase, PTPase domain	GO:0004725(InterPro)|GO:0006470(InterPro)
NIC58.3094	IPR000387	Tyrosine-specific protein phosphatases domain	GO:0016311(InterPro)
NIC58.3094	IPR052782	Oocyte-to-zygote transition regulator	-
